pclass	survived	name	age	embarked	home.dest	room	ticket	boat	sex	
2nd	0	Mudd, Mr Thomas C.	NA	Southampton	Halesworth, England	NA	NA	NA	male	
2nd	0	Myles, Mr Thomas Francis	64.0000	Queenstown	Cambridge, MA	NA	NA	NA	male	
2nd	0	Nasser (Nasrallah), Mr Nicholas	32.0000	Cherbourg	New York, NY	NA	NA	(43)	male	
2nd	1	Nasser (Nasrallah), Mrs Nicholas	18.0000	Cherbourg	New York, NY	NA	NA	NA	female	
2nd	1	Navratil, Master Edmond Roger	 2.0000	Southampton	Nice, France	NA	230080 L26	D	male	
2nd	0	Navratil, Mr Michel	32.0000	Southampton	Nice, France	NA	230080 L26	(15)	male	
2nd	1	Navratil, Master Michel M.	 3.0000	Southampton	Nice, France	NA	230080 L26	D	male	
2nd	0	Nesson, Mr Israel	26.0000	Southampton	Boston, MA	NA	NA	NA	male	
2nd	0	Nicholls, Mr Joseph Charles	19.0000	Southampton	Cornwall / Hancock, MI	NA	NA	(101)	male	
2nd	0	Norman, Mr Robert Douglas	NA	Southampton	Glasgow	NA	NA	(287)	male	
2nd	1	Nourney, Mr Alfred (aka Baron von Drachstedt)	20.0000	Cherbourg	Cologne, Germany	D-38	NA	7	male	
2nd	1	Nye, Mrs Elizabeth Ramell	29.0000	Southampton	Folkstone, Kent / New York, NY	F-33	NA	11	female	
2nd	0	Otter, Mr Richard	39.0000	Southampton	Middleburg Heights, OH	NA	NA	NA	male	
2nd	1	Oxenham, Mr Percy Thomas	22.0000	Southampton	Pondersend, England / New Durham, NJ	NA	NA	NA	male	
2nd	1	Padro y Manent, Mr Julian	NA	Cherbourg	Spain / Havana, Cuba	NA	NA	NA	male	
2nd	0	Pain, Dr Alfred	24.0000	Southampton	Hamilton, ON	NA	NA	NA	male	
2nd	1	Pallas y Castello, Mr Emilio	NA	Cherbourg	Spain / Havana, Cuba	NA	NA	NA	male	
2nd	0	Parker, Mr Clifford R.	28.0000	Southampton	St Andrews, Guernsey	NA	NA	NA	male	
2nd	0	Parkes, Mr Francis (Frank)	NA	NA	Belfast	NA	NA	NA	male	
2nd	1	Parrish, Mrs Lutie Davis	50.0000	Southampton	Woodford County, KY	NA	NA	12	female	
2nd	0	Pengelly, Mr Frederick	20.0000	Southampton	Gunnislake, England / Butte, MT	NA	NA	NA	male	
2nd	0	Peruschitz, Rev. Joseph M.	40.0000	Southampton	NA	NA	NA	NA	male	
2nd	1	Phillips, Miss Alice	42.0000	Southampton	Ilfracombe, Devon	NA	NA	12	female	
2nd	0	Phillips, Mr Robert	21.0000	Southampton	Ilfracombe, Devon	NA	NA	NA	male	
2nd	1	Pinsky, Miss Rosa	32.0000	Southampton	Russia	NA	NA	NA	female	
2nd	0	Ponesell, Mr Martin	34.0000	Southampton	Denmark / New York, NY	NA	250647	NA	male	
2nd	1	Portaluppi, Mr Emilio	NA	Cherbourg	Milford, NH	NA	NA	NA	male	
2nd	0	Pulbaum, Mr Frank	NA	Cherbourg	Paris	NA	NA	NA	male	
2nd	1	Quick, Mrs Frederick C. (Jane Richards)	33.0000	Southampton	Plymouth, Devon / Detroit, MI	NA	NA	11	female	
2nd	1	Quick, Miss Phyllis May	 2.0000	Southampton	Plymouth, Devon / Detroit, MI	NA	NA	11	female	
2nd	1	Quick, Miss Winifred Vera	 8.0000	Southampton	Plymouth, Devon / Detroit, MI	NA	NA	11	female	
2nd	0	Reeves, Mr David	36.0000	Southampton	Brighton, Sussex	NA	NA	NA	male	
2nd	0	Renouf, Mr Peter Henry	34.0000	Southampton	Elizabeth, NJ	NA	NA	NA	male	
2nd	1	Renouf, Mrs Peter Henry (Lillian Jefferys)	30.0000	Southampton	Elizabeth, NJ	NA	NA	NA	female	
2nd	1	Reynaldo, Mrs Encarnacion	28.0000	Southampton	Spain	NA	NA	NA	female	
2nd	0	Richard, Mr Emil	23.0000	Cherbourg	Paris / Montreal, PQ	NA	NA	NA	male	
2nd	1	Richards, Master George Sidney	 0.8333	Southampton	Cornwall / Akron, OH	NA	NA	4	male	
2nd	1	Richards, Mrs Sidney (Emily Hocking)	25.0000	Southampton	Cornwall / Akron, OH	NA	NA	4	female	
2nd	1	Richards, Master William Rowe	 3.0000	Southampton	Cornwall / Akron, OH	NA	NA	4	male	
2nd	1	Ridsdale, Miss Lucy	50.0000	Southampton	London, England / Marietta, Ohio and Milwaukee, WI	NA	NA	NA	female	
2nd	0	Rogers, Mr Harry	NA	Southampton	NA	NA	NA	NA	male	
2nd	1	Rugg, Miss Emily	21.0000	Southampton	Guernsey / Wilmington, DE	NA	NA	12	female	
2nd	0	Sedgwick, Mr Charles Frederick Waddington	NA	Southampton	Liverpool	NA	NA	NA	male	
2nd	0	Sharp, Mr Percival	NA	Southampton	Hornsey, England	NA	NA	NA	male	
2nd	1	Shelley, Mrs William (Imanita)	25.0000	Southampton	Deer Lodge, MT	NA	NA	12	female	
2nd	1	Silven, Miss Lyyli	18.0000	Southampton	Finland / Minneapolis, MN	NA	NA	NA	female	
2nd	1	Sincock, Miss Maude	20.0000	Southampton	Cornwall / Hancock, MI	NA	NA	11	female	
2nd	1	Siukonnen, Miss Anna	30.0000	Southampton	Finland / Washington, DC	NA	NA	NA	female	
2nd	0	Sjostedt, Mr Ernst Adolf	59.0000	Southampton	Sault St Marie, ON	NA	NA	NA	male	
2nd	1	Slayter, Miss Hilda Mary	30.0000	Queenstown	Halifax, NS	NA	NA	13	female	
2nd	0	Slemen, Mr Richard James	35.0000	Southampton	Cornwall	NA	NA	NA	male	
2nd	0	Smith (Schmidt), Mr Augustus	22.0000	Southampton	Newark, NJ	NA	NA	NA	male	
2nd	1	Smith, Miss Marion	NA	Southampton	NA	NA	NA	NA	female	
2nd	0	Sobey, Mr Hayden	25.0000	Southampton	Cornwall / Houghton, MI	NA	NA	NA	male	
2nd	0	Stanton, Mr Samuel Ward	41.0000	Cherbourg	New York, NY	NA	NA	NA	male	
2nd	0	Stokes, Mr Philip Joseph	25.0000	Southampton	Catford, Kent / Detroit, MI	NA	NA	(81)	male	
2nd	0	Sweet, Mr George	14.0000	Southampton	Somerset / Bernardsville, NJ	NA	NA	NA	male	
2nd	1	Toomey, Miss Ellen	50.0000	Southampton	Indianapolis, IN	NA	NA	9	female	
2nd	0	Troupiansky, Mr Moses Aaron	22.0000	Southampton	NA	NA	NA	NA	male	
2nd	1	Trout, Mrs William H. (Jessie L.)	NA	Southampton	Columbus, OH	NA	NA	9	female	
2nd	1	Troutt, Miss Edwina Celia	27.0000	Southampton	Bath, England / Massachusetts	E-101	34218 L10 10s	16	female	
2nd	0	Turpin, Mr William John	29.0000	Southampton	Plymouth, England	NA	NA	NA	male	
2nd	0	Turpin, Mrs William John (Dorothy Anne Wonnacott)	27.0000	Southampton	Plymouth, England	NA	NA	NA	female	
2nd	0	Veale, Mr James	30.0000	Southampton	Barre, Co Washington, VT	NA	NA	NA	male	
2nd	0	Waelens, Mr Achille	22.0000	Southampton	Antwerp, Belgium / Stanton, OH	NA	NA	(140)	male	
2nd	1	Walcroft, Miss Nellie	35.0000	Southampton	Mamaroneck, NY	NA	NA	NA	female	
2nd	0	Ware, Mr John James	30.0000	Southampton	Bristol, England / New Britain, CT	NA	NA	NA	male	
2nd	1	Ware, Mrs John James (Florence Louise Long)	28.0000	Southampton	Bristol, England / New Britain, CT	NA	NA	12	female	
2nd	0	Ware, Mr William J.	23.0000	Southampton	NA	NA	NA	NA	male	
2nd	0	Watson, Mr Ennis Hastings	NA	Southampton	Belfast	NA	NA	NA	male	
2nd	1	Watt, Miss Bertha	12.0000	Southampton	Aberdeen / Portland, OR	NA	NA	9	female	
2nd	1	Watt, Mrs James (Bessie Inglis Milne)	40.0000	Southampton	Aberdeen / Portland, OR	NA	NA	9	female	
2nd	1	Webber, Miss Susan	36.0000	Southampton	England / Hartford, CT	E-101	NA	NA	female	
2nd	0	Weisz, Mr Leopold	28.0000	Southampton	Bromsgrove, England / Montreal, PQ	NA	NA	(293)	male	
2nd	1	Weisz, Mrs Leopold (Mathilde)	32.0000	Southampton	Bromsgrove, England / Montreal, PQ	NA	NA	NA	female	
2nd	1	Wells, Mrs Arthur H. (Addie Trevaskis)	29.0000	Southampton	Cornwall / Akron, OH	NA	NA	NA	female	
2nd	1	Wells, Miss Joan	 4.0000	Southampton	Cornwall / Akron, OH	NA	NA	NA	female	
2nd	1	Wells, Master Ralph Lester	 2.0000	Southampton	Cornwall / Akron, OH	NA	NA	NA	male	
2nd	1	West, Miss Barbara J.	NA	Southampton	Bournmouth, England	NA	NA	NA	female	
2nd	1	West, Miss Constance Mirium	NA	Southampton	Bournmouth, England	NA	NA	NA	female	
2nd	0	West, Mr Edwy Arthur	36.0000	Southampton	Bournmouth, England	NA	NA	NA	male	
2nd	1	West, Mrs Edwy Arthur (Ada Mary)	33.0000	Southampton	Bournmouth, England	NA	NA	NA	female	
2nd	0	Wheadon, Mr Edward	NA	Southampton	Guernsey, England / Edgewood, RI	NA	NA	NA	male	
2nd	0	Wheeler, Mr Edwin	NA	Southampton	NA	NA	NA	NA	male	
2nd	0	Wheeler, Mr Frederick	NA	NA	NA	NA	NA	NA	male	
2nd	1	Wilhelms, Mr Charles	32.0000	Southampton	London, England	NA	NA	9	male	
2nd	1	Wilkinson, Mrs Elizabeth Anne	NA	Southampton	Manchester, England	NA	NA	NA	female	
2nd	1	Williams, Mr Charles Eugene	NA	Southampton	Harrow, England	NA	NA	14	male	
2nd	1	Wright, Miss Marion	26.0000	Southampton	Yoevil, England / Cottage Grove, OR	NA	NA	9	female	
2nd	0	Yrois, Miss Henriette	NA	Southampton	Paris	NA	NA	NA	female	
2nd	0	Aldworth, Mr Charles Augustus	30.0000	Southampton	Bryn Mawr, PA, USA	NA	248744 L13	NA	male	
2nd	1	Brown, Miss Mildred	24.0000	Southampton	London / Montreal, PQ	F-33	NA	11	female	
2nd	0	Pernot, Mr Rene	NA	Cherbourg	NA	2131	L15 1s	NA	male	
2nd	0	Swane, Mr George	18.0000	Southampton	NA	F-?	NA	(294)	male	
3rd	0	Abbing, Mr Anthony	42.0000	Southampton	NA	NA	NA	NA	male	
3rd	0	Abbott, Master Eugene Joseph	13.0000	Southampton	East Providence, RI	NA	NA	NA	male	
3rd	0	Abbott, Mr Rossmore Edward	16.0000	Southampton	East Providence, RI	NA	NA	(190)	male	
3rd	1	Abbott, Mrs Stanton (Rosa)	35.0000	Southampton	East Providence, RI	NA	NA	A	female	
3rd	1	Abelseth, Miss Anna Karen	16.0000	Southampton	Norway Los Angeles, CA	NA	NA	16	female	
3rd	1	Abelseth, Mr Olaus	25.0000	Southampton	Perkins County, SD	NA	NA	A	male	
3rd	1	Abraham, Mrs Joseph (Sophie Easu)	18.0000	Cherbourg	Greensburg, PA	NA	NA	NA	female	
3rd	1	Abrahamsson, Mr August	20.0000	Southampton	Taalintehdas, Finland Hoboken, NJ	NA	NA	15	male	
3rd	0	Adahl, Mr Mauritz Nils Martin	30.0000	Southampton	Asarum, Sweden Brooklyn, NY	NA	7076	(72)	male	
3rd	0	Adams, Mr John	26.0000	Southampton	Bournemouth, England	NA	NA	(103)	male	
3rd	0	Ahlin, Mrs Johanna Persdotter	40.0000	Southampton	Sweden Akeley, MN	NA	NA	NA	female	
3rd	0	Ahmed, Mr Ali	24.0000	Southampton	NA	NA	NA	NA	male	
3rd	0	Aijo-Nirva, Mr Isak	41.0000	Southampton	Finland Sudbury, ON	NA	NA	NA	male	
3rd	1	Aks, Mrs Sam (Leah Rosen)	18.0000	Southampton	London, England Norfolk, VA	NA	392091	13	female	
3rd	1	Aks, Master Philip	 0.8333	Southampton	London, England Norfolk, VA	NA	392091	11	male	
3rd	0	Alexander, Mr William	23.0000	Southampton	England Albion, NY	NA	NA	NA	male	
3rd	0	Alhomaki, Mr Ilmari Rudolf	20.0000	Southampton	Salo, Finland Astoria, OR	NA	NA	NA	male	
3rd	0	Ali, Mr William	25.0000	Southampton	Argentina	NA	NA	(79)	male	
3rd	0	Allen, Mr William Henry	35.0000	Southampton	Lower Clapton, Middlesex or Erdington, Birmingham	NA	NA	NA	male	
3rd	0	Allum, Mr Owen George	17.0000	Southampton	Windsor, England New York, NY	NA	NA	(259)	male	
3rd	0	Andersen, Mr Albert Karvin	32.0000	Southampton	Bergen, Norway	NA	NA	(260)	male	
3rd	0	Andersen, Mr Thor Olsvigen	20.0000	Southampton	Oslo, Norway Cameron, WI	NA	NA	(89)	male	
3rd	0	Andersson, Mr Anders Johan	39.0000	Southampton	Sweden Winnipeg, MN	NA	NA	NA	male	
3rd	0	Andersson, Mrs Anders Johan (Alfrida K. Brogren)	39.0000	Southampton	Sweden Winnipeg, MN	NA	NA	NA	female	
3rd	0	Andersson, Miss Ebba Iris	 6.0000	Southampton	Sweden Winnipeg, MN	NA	NA	NA	female	
3rd	0	Andersson, Miss Ellis Anna Maria	 2.0000	Southampton	Sweden Winnipeg, MN	NA	NA	NA	female	
3rd	1	Andersson, Miss Erna	17.0000	Southampton	Ruotsinphyhtaa, Finland New York, NY	NA	NA	NA	female	
3rd	0	Andersson, Miss Ida Augusta Margareta	38.0000	Southampton	Vadsbro, Sweden Ministee, MI	NA	NA	NA	female	
3rd	0	Andersson, Miss Ingeborg Constancia	 9.0000	Southampton	Sweden Winnipeg, MN	NA	NA	NA	female	
3rd	0	Andersson, Mr Johan Samuel	26.0000	Southampton	Hartford, CT	NA	NA	NA	male	
3rd	0	Andersson, Miss Sigrid Elizabeth	11.0000	Southampton	Sweden Winnipeg, MN	NA	NA	NA	female	
3rd	0	Andersson, Master Sigvard Harald Elias	 4.0000	Southampton	Sweden Winnipeg, MN	NA	NA	NA	male	
3rd	0	Andreasson, Mr Paul Edvin	20.0000	Southampton	Sweden Chicago, IL	NA	NA	NA	male	
3rd	0	Angheloff, Mr Minko	26.0000	Southampton	Bulgaria Chicago, IL	NA	NA	NA	male	
3rd	0	Arnold, Mr Josef	25.0000	Southampton	Altdorf, Switzerland	NA	NA	NA	male	
3rd	0	Arnold, Mrs Josef (Josephine Frank)	18.0000	Southampton	Altdorf, Switzerland	NA	NA	NA	female	
3rd	0	Aronsson, Mr Ernst Axel Algot	24.0000	Southampton	Sweden Joliet, IL	NA	NA	NA	male	
3rd	0	Asim, Mr Adola	35.0000	Southampton	NA	NA	NA	NA	male	
3rd	0	Asplund, Mr Carl Oscar Vilhelm Gustafsson	40.0000	Southampton	Sweden  Worcester, MA	NA	NA	(142)	male	
3rd	1	Asplund, Mrs Carl Oscar (Selma Augusta Johansson)	38.0000	Southampton	Sweden  Worcester, MA	NA	NA	4	female	
3rd	0	Asplund, Master Carl Edgar	 5.0000	Southampton	Sweden  Worcester, MA	NA	NA	NA	male	
3rd	0	Asplund, Master Clarence Gustaf Hugo	 9.0000	Southampton	Sweden Worcester, MA	NA	NA	NA	male	
3rd	1	Aspland, Master Edvin Rojj Felix	 3.0000	Southampton	Sweden Worcester, MA	NA	NA	4	male	
3rd	0	Asplund, Master Filip Oscar	13.0000	Southampton	Sweden Worcester, MA	NA	NA	NA	male	
3rd	1	Asplund, Mr John Charles	23.0000	Southampton	Oskarshamn, Sweden Minneapolis, MN	NA	NA	NA	male	
3rd	1	Asplund, Miss Lillian Gertrud	 5.0000	Southampton	Sweden Worcester, MA	NA	NA	4	female	
3rd	0	Assaf, Mr Gerios	NA	Cherbourg	Ottawa, ON	NA	NA	NA	male	
3rd	1	Assaf, Mrs Mariana	45.0000	Cherbourg	Ottawa, ON	NA	NA	C	female	
3rd	0	Assam, Mr Ali	23.0000	Southampton	NA	NA	NA	NA	male	
3rd	0	Attalah, Miss Malaka	17.0000	Cherbourg	NA	NA	NA	NA	female	
3rd	0	Attala (Kalil), Mr Solomon	27.0000	Cherbourg	Ottawa, ON	NA	NA	NA	male	
3rd	0	Augustsson, Mr Albert	23.0000	Southampton	Krakoryd, Sweden Bloomington, IL	NA	NA	NA	male	
3rd	0	Baccos, Mr Rafoul	20.0000	Cherbourg	NA	NA	NA	NA	male	
3rd	0	Backstrom, Mr Karl Alfred	32.0000	Southampton	Ruotsinphytaa, Finland New York, NY	NA	NA	NA	male	
3rd	1	Backstrom, Mrs Karl Alfred (Maria Mathilda Gustafsson)	33.0000	Southampton	Ruotsinphytaa, Finland New York, NY	NA	NA	NA	female	
3rd	1	Baclini, Miss Eugenie	 3.0000	Cherbourg	Syria New York, NY	NA	NA	NA	female	
3rd	1	Baclini, Miss Helene	NA	Cherbourg	Syria New York, NY	NA	NA	NA	female	
3rd	1	Baclini, Miss Maria	NA	Cherbourg	Syria New York, NY	NA	NA	NA	female	
3rd	1	Baclini, Mrs Solomon (Latifa)	NA	Cherbourg	Syria New York, NY	NA	NA	NA	female	
3rd	1	Badman, Miss Emily Louisa	18.0000	Southampton	London Skanteales, NY	NA	NA	NA	female	
3rd	0	Badt, Mr Mohamed	40.0000	Cherbourg	NA	NA	NA	NA	male	
3rd	0	Balkic, Mr Cerin	26.0000	Southampton	NA	NA	NA	NA	male	
3rd	1	Banoura, Miss Ayout	15.0000	Cherbourg	Syria Youngstown, OH	NA	NA	NA	female	
3rd	0	Barbara, Mrs Catherine	45.0000	Cherbourg	Syria Ottawa, ON	NA	NA	NA	female	
3rd	0	Barbara, Miss Saude	18.0000	Cherbourg	Syria Ottawa, ON	NA	NA	NA	female	
3rd	0	Barry, Miss Julia	27.0000	Queenstown	New York, NY	NA	NA	NA	female	
3rd	0	Barton Mr David	22.0000	Southampton	England New York, NY	NA	NA	NA	male	
3rd	0	Beavan, Mr William Thomas	19.0000	Southampton	England	NA	NA	NA	male	
3rd	0	Bengtsson, Mr John Viktor	26.0000	Southampton	Krakudden, Sweden Moune, IL	NA	NA	NA	male	
3rd	0	Berglund. Mr Karl Ivar Sven	22.0000	Southampton	Tranvik, Finland New York	NA	NA	NA	male	
3rd	0	Betros, Mr Tannous	20.0000	Cherbourg	Syria	NA	NA	NA	male	
3rd	1	Bing, Mr Lee	32.0000	Southampton	Hong Kong New York, NY	NA	NA	NA	male	
3rd	0	Birkeland, Mr Hans	21.0000	Southampton	Brennes, Norway New York	NA	NA	NA	male	
3rd	0	Bjorklund, Ernst Herbert	18.0000	Southampton	Stockholm, Sweden New York	NA	NA	NA	male	
3rd	0	Bostandyeff, Mr Guentcho	26.0000	Southampton	Bulgaria Chicago, IL	NA	NA	NA	male	
3rd	0	Boulos, Master Akar	 6.0000	Cherbourg	Syria Kent, ON	NA	NA	NA	male	
3rd	0	Boulos, Mr Hanna	NA	Cherbourg	Syria	NA	NA	NA	male	
3rd	0	Boulos, Mrs Joseph (Sultana)	NA	Cherbourg	Syria Kent, ON	NA	NA	NA	female	
3rd	0	Boulos, Miss Laura	 9.0000	Cherbourg	Syria Kent, ON	NA	NA	NA	female	
3rd	0	Bourke, Mr John	40.0000	Queenstown	Ireland Chicago, IL	NA	NA	NA	male	
3rd	0	Bourke, Mrs John (Catherine)	32.0000	Queenstown	Ireland Chicago, IL	NA	NA	NA	female	
3rd	0	Bourke, Miss Mary	NA	Queenstown	Ireland Chicago, IL	NA	NA	NA	female	
3rd	0	Bowen, Mr David	26.0000	Southampton	Treherbert, Cardiff, Wales	NA	NA	NA	male	
3rd	1	Bradley, Miss Bridget Delia	18.0000	Queenstown	Kingwilliamstown, Co Cork, Ireland Glens Falls, NY	NA	NA	13	female	
3rd	0	Braf, Miss Elin Ester Maria	20.0000	Southampton	Medeltorp, Sweden Chicago, IL	NA	NA	NA	female	
3rd	0	Brahim, Mr Youssef	NA	Cherbourg	NA	NA	NA	NA	male	
3rd	0	Braund, Mr Lewis Richard	29.0000	Southampton	Bridgerule, Devon	NA	NA	NA	male	
3rd	0	Braund, Mr Owen Harris	22.0000	Southampton	Bridgerule, Devon	NA	NA	NA	male	
3rd	0	Brobek, Mr Karl Rudolf	22.0000	Southampton	Sweden Worcester, MA	NA	NA	NA	male	
3rd	0	Brocklebank, Mr William Alfred	35.0000	Southampton	Broomfield, Chelmsford, England	NA	NA	NA	male	
3rd	1	Buckley, Mr Daniel	21.0000	Queenstown	Kingwilliamstown, Co Cork, Ireland New York, NY	NA	NA	NA	male	
3rd	0	Buckley, Miss Katherine	20.0000	Queenstown	Co Cork, Ireland Roxbury, MA	NA	NA	(299)	female	
3rd	0	Burke, Mr Jeremiah	19.0000	Queenstown	Co Cork, Ireland Charlestown, MA	NA	NA	NA	male	
3rd	0	Burns, Miss Mary Delia	18.0000	Queenstown	Co Sligo, Ireland New York, NY	NA	NA	NA	female	
3rd	0	Cacic, Mr Grego	18.0000	Southampton	Croatia	NA	NA	NA	male	
3rd	0	Cacic, Mr Luka	38.0000	Southampton	Croatia	NA	NA	NA	male	
3rd	0	Cacic, Mr Manda	NA	Southampton	Croatia	NA	NA	NA	male	
3rd	0	Cacic, Mr Maria	30.0000	Southampton	Croatia	NA	NA	NA	male	
3rd	0	Calic, Mr Peter	17.0000	Southampton	NA	NA	NA	NA	male	
3rd	0	Canavan, Miss Mary	21.0000	Queenstown	NA	NA	NA	NA	female	
3rd	0	Canavan, Mr Patrick	21.0000	Queenstown	Ireland Philadelphia, PA	NA	NA	NA	male	
3rd	0	Cann, Mr Ernest	21.0000	Southampton	NA	NA	NA	NA	male	
3rd	0	Caram (Kareem), Mr Joseph	NA	Cherbourg	Ottawa, ON	NA	NA	NA	male	
3rd	0	Caram (Kareem), Mrs Joseph (Maria Elias)	NA	Cherbourg	Ottawa, ON	NA	NA	NA	female	
3rd	0	Carlsson, Mr Carl Robert	24.0000	Southampton	Goteborg, Sweden Huntley, IL	NA	NA	NA	male	
3rd	0	Carlsson, Mr Frans Olof	33.0000	Southampton	New York, NY	NA	NA	NA	male	
3rd	0	Carlsson, Mr Julius	33.0000	Southampton	NA	NA	NA	NA	male	
3rd	0	Carlsson, Mr August Sigfrid	28.0000	Southampton	Dagsas, Sweden Fower, MN	NA	NA	NA	male	
3rd	1	Carr, Miss Helen	16.0000	Queenstown	Co Longford, Ireland New York, NY	NA	NA	NA	female	
3rd	0	Carr, Miss Jeannie	37.0000	Queenstown	Co Sligo, Ireland Hartford, CT	NA	NA	NA	female	
3rd	0	Carver, Mr Alfred John	28.0000	Southampton	St Denys, Southampton, Hants	NA	NA	NA	male	
3rd	1	Cassem, Mr Nassef Belmenly	NA	Cherbourg	Syria Fredericksburg, VA	NA	NA	NA	male	
3rd	0	Celotti, Mr Francesco	24.0000	Southampton	London	NA	NA	NA	male	
3rd	0	Chartens, Mr David	21.0000	Southampton	Ireland New York, NY	NA	NA	NA	male	
3rd	0	Chebab, Mr Emir Farres	NA	Cherbourg	NA	NA	NA	NA	male	
3rd	0	Chip, Mr Chang	32.0000	Southampton	Hong Kong New York, NY	NA	NA	NA	male	
3rd	0	Christmann, Mr Emil	29.0000	Southampton	NA	NA	NA	NA	male	
3rd	0	Chronopoulos, Mr Apostolos	26.0000	Cherbourg	Greece	NA	NA	NA	male	
3rd	0	Chronopoulos, Mr Demetrios	18.0000	Cherbourg	Greece	NA	NA	NA	male	
3rd	0	Coelho, Mr Domingos Fernandes	20.0000	Southampton	Portugal	NA	NA	NA	male	
3rd	1	Cohen, Mr Gurshon (Gus)	19.0000	Southampton	London Brooklyn, NY	NA	NA	NA	male	
3rd	0	Colbert, Mr Patrick	24.0000	Queenstown	Co Limerick, Ireland Sherbrooke, PQ	NA	NA	NA	male	
3rd	0	Coleff, Mr Fotio	24.0000	Southampton	NA	NA	NA	NA	male	
3rd	0	Coleff, Mr Peyo	36.0000	Southampton	Bulgaria Chicago, IL	NA	NA	NA	male	
3rd	0	Conlin, Mr Thomas Henry	31.0000	Queenstown	Philadelphia, PA	NA	NA	NA	male	
3rd	0	Connaghton, Mr Michael	31.0000	Queenstown	Ireland Brooklyn, NY	NA	NA	NA	male	
3rd	0	Connolly, Miss Kate	30.0000	Queenstown	Ireland	NA	NA	NA	female	
3rd	1	Connolly, Miss Kate	22.0000	Queenstown	Ireland	NA	NA	NA	female	
3rd	0	Connors, Mr Patrick	NA	Queenstown	NA	NA	NA	(171)	male	
3rd	0	Cook, Mr Jacob	43.0000	Southampton	NA	NA	NA	NA	male	
3rd	0	Cor, Mr Bartol	35.0000	Southampton	Austria	NA	NA	NA	male	
3rd	0	Cor, Mr Ivan	27.0000	Southampton	Austria	NA	NA	NA	male	
3rd	0	Cor, Mr Ludovik	19.0000	Southampton	Austria	NA	NA	NA	male	
3rd	0	Corn, Mr Harry	30.0000	Southampton	London	NA	NA	NA	male	
3rd	1	Coutts, Mrs William (Minnie)	36.0000	Southampton	England Brooklyn, NY	NA	NA	2	female	
3rd	1	Coutts, Master Neville	 3.0000	Southampton	England Brooklyn, NY	NA	NA	2	male	
3rd	1	Coutts, Master William Leslie	 9.0000	Southampton	England Brooklyn, NY	NA	NA	2	male	
3rd	0	Coxon, Mr Daniel	59.0000	Southampton	Merrill, WI	NA	NA	NA	male	
3rd	0	Crease, Mr Ernest James	19.0000	Southampton	Bristol, England Cleveland, OH	NA	NA	NA	male	
3rd	0	Cribb, Mr John Hatfield	44.0000	Southampton	Bournemouth, England Newark, NJ	NA	NA	NA	male	
3rd	1	Cribb, Miss Laura Alice	17.0000	Southampton	Bournemouth, England Newark, NJ	NA	NA	NA	female	
3rd	0	Daher, Mr Tannous	NA	Cherbourg	NA	NA	NA	NA	male	
3rd	1	Dahl, Mr Charles Edward	45.0000	Southampton	Australia Fingal, ND	NA	NA	15	male	
3rd	0	Dahlberg, Miss Gerda Ulrika	22.0000	Southampton	Norrlot, Sweden Chicago, IL	NA	NA	NA	female	
3rd	0	Dakic, Mr Branko	19.0000	Southampton	Austria	NA	NA	NA	male	
3rd	1	Daly, Mr Eugene	29.0000	Queenstown	Co Athlone, Ireland New York, NY	NA	NA	B	male	
3rd	1	Daly, Miss Marcella	30.0000	Queenstown	Co Athlone, Ireland New York, NY	NA	NA	NA	female	
3rd	0	Danbom, Mr Ernst Gilbert	34.0000	Southampton	Stanton, IA	NA	NA	NA	male	
3rd	0	Danbom, Mrs Ernst Gilbert (Anna Sigrid Maria Brogren)	28.0000	Southampton	Stanton, IA	NA	NA	NA	female	
3rd	0	Danbom, Master Gilbert Sigvard Emanuel	 0.3333	Southampton	Stanton, IA	NA	NA	NA	male	
3rd	0	Danoff, Mr Yoto	27.0000	Southampton	Bulgaria Chicago, IL	NA	NA	NA	male	
3rd	0	Dantchoff, Mr Khristo	25.0000	Southampton	Bulgaria Chicago, IL	NA	NA	NA	male	
3rd	0	Davies, Mr Alfred	24.0000	Southampton	West Bromwich, England Pontiac, MI	NA	NA	NA	male	
3rd	0	Davies, Mr Evan	22.0000	Southampton	NA	NA	NA	NA	male	
3rd	0	Davies, Mr John	21.0000	Southampton	West Bromwich, England Pontiac, MI	NA	NA	NA	male	
3rd	0	Davies, Mr Joseph	17.0000	Southampton	West Bromwich, England Pontiac, MI	NA	NA	NA	male	
3rd	0	Davison, Mr Thomas Henry	NA	Southampton	Liverpool, England Bedford, OH	NA	NA	NA	male	
3rd	1	Davison, Mrs Thomas Henry (Mary Finck)	NA	Southampton	Liverpool, England Bedford, OH	NA	NA	NA	female	
3rd	0	Dean, Mr Bertram	26.0000	Southampton	Devon, England Wichita, KS	NA	NA	NA	male	
3rd	1	Dean, Mrs Bertram (Eva)	33.0000	Southampton	Devon, England Wichita, KS	NA	NA	12	female	
3rd	1	Dean, Master Bertram Vere	 1.0000	Southampton	Devon, England Wichita, KS	NA	NA	12	male	
3rd	1	Dean, Miss Elizabeth Gladys (Millvena)	 0.1667	Southampton	Devon, England Wichita, KS	NA	NA	12	female	
3rd	0	Delalic, Mr Regyo	25.0000	Southampton	NA	NA	NA	NA	male	
3rd	1	De Messemaeker, Mr William Joseph	36.0000	Southampton	Tampico, MT	NA	NA	15	male	
